iter	RMSE
0	468244.8987
1	446690.8692
2	426578.4608
3	407205.948
4	388786.3432
5	371189.9298
6	354924.4692
7	339737.9835
8	324461.274
9	310539.2291
10	297359.8912
11	284394.6662
12	272001.9472
13	260083.3571
14	249080.1926
15	238281.9605
16	228358.8692
17	218480.787
18	209283.5728
19	200193.6405
20	191869.32
21	184199.6415
22	176497.7229
23	169642.4567
24	162821.5834
25	156361.713
26	150069.492
27	144163.9329
28	138665.2877
29	133664.6248
30	128937.8393
31	124227.5384
32	119674.8516
33	115656.267
34	111698.6034
35	107942.9271
36	104283.4873
37	100848.2895
38	97796.76913
39	94822.00693
40	91910.59195
41	89413.27898
42	87047.29132
43	84535.78973
44	82312.72583
45	80217.90069
46	78250.12617
47	76359.50676
48	74547.73946
49	72943.66607
50	71503.45429
51	70127.15039
52	68766.43611
53	67373.57572
54	66232.76144
55	65094.9935
56	64078.55864
57	63102.12892
58	62226.30396
59	61270.85617
60	60465.13491
61	59690.62619
62	58876.76196
63	58269.9248
64	57513.06909
65	56867.5423
66	56284.90344
67	55558.14945
68	54928.23376
69	54439.02311
70	53990.52161
71	53452.53589
72	53001.31915
73	52621.81588
74	52293.27129
75	51866.54523
76	51560.5091
77	51274.19854
78	50964.67052
79	50659.95484
80	50227.05722
81	49902.96554
82	49654.33487
83	49298.4999
84	49087.07759
85	48808.74932
86	48546.28858
87	48344.26133
88	48154.69958
89	47927.84485
90	47743.85292
91	47537.65047
92	47385.76564
93	47218.82313
94	46907.3111
95	46706.46558
96	46610.9749
97	46495.93891
98	46323.15541
99	46207.7233
100	45966.3468
101	45853.59155
102	45695.12582
103	45580.74355
104	45462.88071
105	45359.61194
106	45242.61227
107	45139.53314
108	44965.34204
109	44791.38803
110	44472.65974
111	44319.25506
112	44221.92897
113	44108.94936
114	43940.7084
115	43853.31236
116	43744.68553
117	43556.44148
118	43368.91938
119	43267.41885
120	43199.63623
121	42999.92391
122	42911.98986
123	42818.54878
124	42702.23546
125	42616.02448
126	42534.76564
127	42344.69302
128	42271.50226
129	42154.81491
130	42040.079
131	41983.5828
132	41905.8097
133	41713.66822
134	41652.01895
135	41494.70192
136	41415.51297
137	41344.92165
138	41284.43973
139	41208.83371
140	41126.88668
141	41106.75767
142	41041.13598
143	40922.06837
144	40845.65464
145	40775.30499
146	40739.98251
147	40679.04144
148	40614.37679
149	40467.13241
150	40364.80372
151	40325.92365
152	40276.73106
153	40109.09624
154	39933.07109
155	39900.56619
156	39782.73347
157	39727.56199
158	39551.22413
159	39489.32643
160	39436.44012
161	39385.79079
162	39346.34634
163	39307.87597
164	39290.6691
165	39176.7953
166	39075.14274
167	39029.80022
168	38911.45052
169	38868.16561
170	38815.74872
171	38770.06293
172	38719.46051
173	38674.33705
174	38618.05435
175	38545.89014
176	38393.88667
177	38306.53512
178	38240.04737
179	38168.02321
180	38105.07718
181	38050.8265
182	38009.07781
183	37957.74463
184	37898.54621
185	37799.0531
186	37753.13443
187	37696.65779
188	37652.75587
189	37601.25665
190	37508.00295
191	37431.01427
192	37317.59196
193	37257.85959
194	37124.63824
195	36961.77358
196	36917.91508
197	36878.09049
198	36777.85278
199	36694.17113
200	36659.3075
201	36638.71658
202	36603.0032
203	36558.48631
204	36534.2358
205	36490.14472
206	36447.56248
207	36414.57216
208	36376.43997
209	36311.91839
210	36244.56897
211	36174.00113
212	36054.48556
213	35971.01602
214	35907.30174
215	35851.46378
216	35816.03784
217	35693.76897
218	35621.34908
219	35514.80421
220	35481.66763
221	35403.20323
222	35369.02223
223	35298.96588
224	35227.81411
225	35196.33819
226	35160.79537
227	35046.04962
228	34979.68153
229	34893.34455
230	34861.77649
231	34846.43038
232	34756.25663
233	34657.59309
234	34633.32329
235	34563.86454
236	34535.56843
237	34452.87283
238	34421.38899
