iter	Passed	Remaining
0	52	42335
1	111	44622
2	183	48739
3	252	50221
4	320	50947
5	387	51337
6	459	52059
7	525	51975
8	584	51410
9	656	51876
10	723	51892
11	789	51843
12	859	52004
13	926	51997
14	994	52062
15	1063	52113
16	1130	52085
17	1197	52004
18	1269	52171
19	1335	52078
20	1399	51931
21	1470	52003
22	1536	51905
23	1603	51851
24	1674	51901
25	1742	51865
26	1807	51759
27	1873	51665
28	1938	51539
29	2003	51433
30	2071	51382
31	2138	51335
32	2204	51241
33	2276	51280
34	2342	51195
35	2407	51100
36	2476	51079
37	2545	51053
38	2610	50946
39	2677	50872
40	2753	50976
41	2820	50897
42	2888	50844
43	2987	51331
44	3050	51186
45	3104	50893
46	3154	50534
47	3206	50235
48	3252	49854
49	3297	49459
50	3342	49092
51	3391	48778
52	3436	48428
53	3478	48051
54	3522	47707
55	3563	47345
56	3606	47012
57	3651	46708
58	3706	46556
59	3757	46340
60	3809	46145
61	3852	45852
62	3893	45551
63	3934	45241
64	3976	44969
65	4025	44765
66	4076	44598
67	4131	44471
68	4178	44268
69	4227	44087
70	4279	43938
71	4332	43808
72	4384	43665
73	4434	43502
74	4482	43332
75	4535	43205
76	4589	43089
77	4641	42962
78	4693	42833
79	4739	42658
80	4809	42690
81	4872	42664
82	4928	42572
83	4975	42406
84	5020	42231
85	5063	42037
86	5101	41811
87	5145	41634
88	5189	41458
89	5239	41332
90	5282	41156
91	5323	40970
92	5369	40820
93	5417	40691
94	5478	40659
95	5535	40592
96	5568	40356
97	5626	40305
98	5683	40243
99	5745	40218
100	5815	40246
101	5879	40234
102	5947	40246
103	6013	40244
104	6078	40235
105	6156	40309
106	6222	40299
107	6289	40298
108	6356	40298
109	6421	40281
110	6490	40285
111	6573	40381
112	6643	40387
113	6705	40353
114	6773	40345
115	6834	40298
116	6892	40237
117	6953	40189
118	7017	40161
119	7082	40136
120	7152	40133
121	7218	40117
122	7299	40175
123	7366	40159
124	7435	40154
125	7504	40143
126	7571	40120
127	7638	40103
128	7707	40088
129	7777	40083
130	7843	40055
131	7908	40019
132	7975	39998
133	8044	39982
134	8110	39950
135	8178	39929
136	8242	39890
137	8308	39858
138	8374	39822
139	8439	39787
140	8508	39765
141	8574	39730
142	8641	39702
143	8708	39670
144	8777	39648
145	8843	39615
146	8912	39592
147	8980	39564
148	9044	39518
149	9111	39483
150	9179	39453
151	9244	39409
152	9308	39363
153	9370	39306
154	9434	39260
155	9501	39223
156	9566	39182
157	9632	39139
158	9700	39107
159	9767	39070
160	9829	39012
161	9891	38956
162	9957	38913
163	10023	38873
164	10090	38834
165	10159	38800
166	10227	38765
167	10293	38723
168	10360	38683
169	10424	38633
170	10491	38590
171	10556	38542
172	10625	38508
173	10694	38475
174	10763	38440
175	10830	38398
176	10898	38361
177	10968	38328
178	11033	38277
179	11103	38244
180	11172	38209
181	11238	38162
182	11315	38150
183	11384	38113
184	11449	38060
185	11516	38017
186	11581	37964
187	11645	37909
188	11710	37858
189	11824	37963
190	11924	38021
191	12009	38028
192	12104	38069
193	12159	37983
194	12212	37889
195	12269	37811
196	12325	37726
197	12378	37635
198	12434	37554
199	12488	37464
200	12542	37378
201	12599	37299
202	12653	37212
203	12707	37125
204	12764	37048
205	12819	36964
206	12872	36877
207	12931	36804
208	12986	36722
209	13041	36639
210	13098	36564
211	13155	36486
212	13210	36405
213	13267	36330
214	13320	36243
215	13374	36160
216	13430	36083
217	13487	36008
218	13543	35930
219	13599	35853
220	13654	35772
221	13715	35710
222	13783	35662
223	13853	35622
224	13921	35576
225	13988	35528
226	14055	35478
227	14123	35433
228	14193	35390
229	14262	35345
230	14328	35294
231	14396	35247
232	14462	35194
233	14531	35148
234	14599	35100
235	14667	35051
236	14732	34998
237	14798	34944
238	14868	34899
239	14934	34847
240	15003	34801
241	15070	34749
242	15150	34728
243	15221	34684
244	15287	34631
245	15342	34550
246	15389	34454
247	15433	34351
248	15481	34258
249	15538	34183
250	15591	34101
251	15645	34023
252	15710	33966
253	15774	33909
254	15843	33860
255	15912	33815
256	15979	33761
257	16044	33706
258	16115	33661
259	16181	33608
260	16250	33558
261	16319	33510
262	16389	33464
263	16462	33423
264	16532	33377
265	16601	33327
266	16669	33275
267	16739	33229
268	16806	33175
269	16875	33126
270	16948	33084
271	17013	33026
272	17079	32969
273	17148	32920
274	17213	32862
275	17280	32808
276	17353	32765
277	17424	32717
278	17492	32664
279	17560	32613
280	17631	32565
281	17695	32504
282	17764	32453
283	17832	32399
284	17897	32340
285	17967	32290
286	18031	32230
287	18098	32174
288	18167	32123
289	18232	32063
290	18297	32004
291	18365	31950
292	18435	31899
293	18503	31845
294	18570	31790
295	18636	31733
